# Source: https://www.pixelpharma.be/files/eigen-tekst-documenten/Lijst%20van%20Geneesmiddelen%20en%20medische%20hulpmiddelen.pdf
# Columns: cnk<TAB>name
3560950	Nurofen Patch transderm. lok. medic. pleister 4x 200mg (14x10cm)
3412459	Hyalo4 Skin gel 1x30g
2215986	Amoxiclav Sandoz 2/200 inj./inf. oploss. (pdr.) i.v. [flac.] 10
3138633	Mitoxantrone Sandoz inf. oploss. (conc.) i.v. [flac.] 5x 20mg/10ml
3523586	Balcoga filmomh. tabl. 90x 20mg
2904175	Vyndaqel zachte caps. 30x 20mg
3353034	Mekinist filmomh. tabl. 30x 2mg
121350	Neo-Sabenyl cut. oploss. (conc.) 200ml 8mg/1ml
3445830	Xeomeen inj. oploss. (pdr.) i.m./i.gland. [flac.] 1x 200E
3196094	Ubistesin Adrenaline 40/10 inj. oploss. dent. [patr.] 50x1,7ml
3091535	Refluxine Control maagsapresist. tabl. 14x 20mg
3400694	Amoxiclav Sandoz 500/50 inj./inf. oploss. (pdr.) i.v. [flac.] 10
3353018	Mekinist filmomh. tabl. 30x 0,5mg
2110948	Kamferzalf zalf 20g 200mg/1g
316331	Lignospan 20/12,5 inj. oploss. oromuc./s.mucos. [patr.] 50x1,8ml
127068	Pyridoxine tabl. (deelb.) 20x 250mg
3159175	Votubia disp. tabl. 30x 5mg
2086809	Cetirizine UCB filmomh. tabl. (deelb.) 40x 10mg
3003688	Eziclen 17,51/3,276/3,13 oploss. (conc.) 2x176ml
3383593	Cotellic filmomh. tabl. 63x 20mg
817346	Aspegic oploss. (pdr., zakjes) 20x 1g
3500436	Wakix filmomh. tabl. 30x 18mg
2648871	Ciprofloxacine Fresenius Kabi inf. oploss. i.v. [flac.] 1x 200mg/100ml
3342235	Zalviso subling. tabl. (patr.) 20x40x 15µg
3612876	Maviret 100/40 filmomh. tabl. 84x
2565950	Fenistil druppels oploss. 20ml 1mg/1ml
891424	Zineryt 40/12 cut. oploss. (pdr.+solv.) 30ml
1690510	Cetirizine Sandoz filmomh. tabl. (deelb.) 20x 10mg
2247849	Iso-Betadine cut. oploss. Dermicum (unidose) 10x5ml 100mg/1ml
2476265	Elaprase inf. oploss. (conc.) i.v. [flac.] 1x 6mg/3ml
1690528	Cetirizine Sandoz filmomh. tabl. (deelb.) 7x 10mg
1738947	Cetirizine Sandoz filmomh. tabl. (deelb.) 50x 10mg
2582179	Cetirizine Sandoz filmomh. tabl. (deelb.) 100x 10mg
3345857	Duspatalin harde caps. verl. afgifte Retard 30x 200mg
137547	Xylocaine 2 % urethr. gel 1x30g 20mg/1g
3510443	Gemcitabine Fresenius Kabi inf. oploss. (conc.) i.v. [flac.] 1x 2g/52,6ml
3510427	Gemcitabine Fresenius Kabi inf. oploss. (conc.) i.v. [flac.] 1x 200mg/5,26ml
3075124	Brandocare maagsapresist. tabl. 14x 20mg
103614	Benerva maagsapresist. tabl. 20x 300mg
3451994	Jinarc 90/30 tabl. 1x (28+28)
3451986	Jinarc 60/30 tabl. 1x (28+28)
3452000	Jinarc tabl. 28x 30mg
3479011	Orkambi 200/125 filmomh. tabl. 112x
132548	Terramycine+Polymyxine B 30/10000 zalf 15g
2752293	Brinavess inf. oploss. (conc.) i.v. [flac.] 1x 500mg/25ml
2443323	Restofit 388/466/543 susp. (pdr., zakjes) 10x10g
3117421	Paracetamol Fresenius Kabi inf. oploss. i.v. [zak] 20x 1g/100ml
3450970	Uptravi filmomh. tabl. 60x 1200µg
3525011	Sildenafil Teva filmomh. tabl. 90x 20mg
1776343	Arnigel gel 45g
817551	Visine ocul. druppels oploss. 10ml 0,5mg/1ml
465856	Ferrum-Homaccord bucc./or. druppels oploss. 30ml
3227642	Fludarabine Accord Healthcare inj./inf. oploss. (conc.) i.v. [flac.] 1x 50mg/2ml
3263712	Ofev zachte caps. 60x 100mg
3263720	Ofev zachte caps. 60x 150mg
3491875	Brufen filmomh. tabl. 20x 400mg
3465721	Flolan inf. oploss. (pdr.+solv.) i.v. [2x flac., thermostabiele formule] 1x 1,5mg
3762036	Tartephedreel bucc./or. druppels oploss. 30ml
3901733	Creon 35000/25200/1400 harde maagsapresist. caps. 100x
3437316	Empliciti inf. oploss. conc. (pdr.) i.v. [flac.] 1x 300mg
3946787	Imbruvica filmomh. tabl. 30x 420mg
3756707	Hepeel tabl. 250x
3946779	Imbruvica filmomh. tabl. 30x 560mg
3456761	Synagis inj. oploss. i.m. [flac.] 1x 100mg/1ml
3983202	Ogivri inf. oploss. conc. (pdr.) i.v. [flac.] 1x 420mg
3506698	Bivalirudin Accord Healthcare inj./inf. oploss. conc. (pdr.) i.v. [flac.] 1x 250mg
3523628	Ibrance harde caps. 21x 75mg
3523644	Ibrance harde caps. 21x 125mg
3380888	Tagrisso filmomh. tabl. 30x 80mg
3523636	Ibrance harde caps. 21x 100mg
3899929	Xtandi filmomh. tabl. 112x 40mg
3380896	Tagrisso filmomh. tabl. 30x 40mg
835488	Xanthium harde caps. verl. afgifte 60x 400mg
3562220	Bosentan Teva filmomh. tabl. 56x 62,5mg
461210	Vertigoheel tabl. 250x
3342821	Orfadin susp. 90ml 4mg/1ml
3759156	Gastricumeel tabl. 250x
3678422	Cresemba harde caps. 14x 100mg
4148904	Fibryga inj./inf. oploss. (pdr.+solv.) i.v. [2x flac.] 1g
1174960	Hacdil-S 5/0,5 cut. oploss. (unidose) 10x15ml
1430735	Loperamide Teva harde caps. 60x 2mg
1481563	Creon 10000/8000/600 harde maagsapresist. caps. 100x
